Team_ID,Team_Name,Founded_Year,Stadium_Name,City,Country,League_ID
1,Chelsea,1905,Stamford Bridge,London,England,1
2,Arsenal,1886,Emirates Stadium ,London,England,1
3,Tottenham Hotspur,1882,Tottenham Hotspur Stadium,London,England,1
4,Manchester United ,1878,Old Trafford ,Manchester,England,1
5,Manchester City  ,1880,Etihad Stadium ,Manchester,England,1
6,Liverpool,1892,Anfield,Liverpool,England,1
7,Barcelona,1899,Camp Nou,Barcelona,Spain,2
8,Real Madrid ,1902,Santiago Bernabéu,Madrid,Spain,2
9,Atlético Madrid,1903,Wanda Metropolitano,Madrid,Spain,2
10,Sevilla,1890,Ramón Sánchez Pizjuán,Seville,Spain,2
11,Juventus,1897,Allianz Stadium ,Turin,Italy,3
12, AC Milan  ,1899,San Siro   ,Milan,Italy,3
13,S.S.C. Napoli,1926,Stadio Diego Armando Maradona ,Naples,Italy,3
14,Inter Milan,1908,San Siro ,Milan,Italy,3
15,RB Leipzig,2009,Red Bull Arena,Leipzig,Germany,4
16,Bayern Munich,1900, Allianz Arena ,Munich,Germany,4
17,Bayer 04 Leverkusen,1904,BayArena ,Leverkusen,Germany,4
18,Borussia Dortmund,1909,Signal Iduna Park,Dortmund,Germany,4
19,Paris Saint-Germain,1970,Parc des Princes ,Paris,France,5
20,Olympique de Marseille,1899,Vélodrome ,Marseille,France,5
21,Olympique Lyonnais,1950,Groupama Stadium,Lyon,France,5
22,AS Monaco,1919,Louis II Stadium,Monaco,France,5
